class_id,concept_id,concept_name
n02086240,n02084071,dog
n02086646,n02084071,dog
n02086910,n02084071,dog
n02087046,n02084071,dog
n02087394,n02084071,dog
n02088094,n02084071,dog
n02088238,n02084071,dog
n02088364,n02084071,dog
n02088466,n02084071,dog
n02088632,n02084071,dog
n02089078,n02084071,dog
n02089867,n02084071,dog
n02089973,n02084071,dog
n02090379,n02084071,dog
n02090622,n02084071,dog
n02090721,n02084071,dog
n02091032,n02084071,dog
n02091134,n02084071,dog
n02091244,n02084071,dog
n02091467,n02084071,dog
n02091635,n02084071,dog
n02091831,n02084071,dog
n02092002,n02084071,dog
n02092339,n02084071,dog
n02093256,n02084071,dog
n02093428,n02084071,dog
n02093647,n02084071,dog
n02093754,n02084071,dog
n02093859,n02084071,dog
n02093991,n02084071,dog
n02094114,n02084071,dog
n02094258,n02084071,dog
n02094433,n02084071,dog
n02095314,n02084071,dog
n02095570,n02084071,dog
n02095889,n02084071,dog
n02096051,n02084071,dog
n02096177,n02084071,dog
n02096294,n02084071,dog
n02096437,n02084071,dog
n02096585,n02084071,dog
n02097047,n02084071,dog
n02097130,n02084071,dog
n02097209,n02084071,dog
n02097298,n02084071,dog
n02097474,n02084071,dog
n02097658,n02084071,dog
n02098105,n02084071,dog
n02098286,n02084071,dog
n02098413,n02084071,dog
n02099267,n02084071,dog
n02099429,n02084071,dog
n02099601,n02084071,dog
n02099712,n02084071,dog
n02099849,n02084071,dog
n02100236,n02084071,dog
n02100583,n02084071,dog
n02100735,n02084071,dog
n02100877,n02084071,dog
n02101006,n02084071,dog
n02101388,n02084071,dog
n02101556,n02084071,dog
n02102040,n02084071,dog
n02102177,n02084071,dog
n02102318,n02084071,dog
n02102480,n02084071,dog
n02102973,n02084071,dog
n02104029,n02084071,dog
n02104365,n02084071,dog
n02105056,n02084071,dog
n02105162,n02084071,dog
n02105251,n02084071,dog
n02105412,n02084071,dog
n02105505,n02084071,dog
n02105641,n02084071,dog
n02105855,n02084071,dog
n02106030,n02084071,dog
n02106166,n02084071,dog
n02106382,n02084071,dog
n02106550,n02084071,dog
n02106662,n02084071,dog
n02107142,n02084071,dog
n02107312,n02084071,dog
n02107574,n02084071,dog
n02107683,n02084071,dog
n02107908,n02084071,dog
n02108000,n02084071,dog
n02108089,n02084071,dog
n02108422,n02084071,dog
n02108551,n02084071,dog
n02108915,n02084071,dog
n02109047,n02084071,dog
n02109525,n02084071,dog
n02109961,n02084071,dog
n02110063,n02084071,dog
n02110185,n02084071,dog
n02110341,n02084071,dog
n02110627,n02084071,dog
n02110806,n02084071,dog
n02110958,n02084071,dog
n02111129,n02084071,dog
n02111277,n02084071,dog
n02111500,n02084071,dog
n02111889,n02084071,dog
n02112018,n02084071,dog
n02112137,n02084071,dog
n02112350,n02084071,dog
n02112706,n02084071,dog
n02113023,n02084071,dog
n02113186,n02084071,dog
n02113624,n02084071,dog
n02113712,n02084071,dog
n02113799,n02084071,dog
n02113978,n02084071,dog
n02114367,n01861778,mammal
n02114548,n01861778,mammal
n02114712,n01861778,mammal
n02114855,n01861778,mammal
n02115641,n01861778,mammal
n02115913,n01861778,mammal
n02116738,n01861778,mammal
n02117135,n01861778,mammal
n02119022,n01861778,mammal
n02119789,n01861778,mammal
n02120079,n01861778,mammal
n02120505,n01861778,mammal
n02123045,n01861778,mammal
n02123159,n01861778,mammal
n02123394,n01861778,mammal
n02123597,n01861778,mammal
n02124075,n01861778,mammal
n02125311,n01861778,mammal
n02127052,n01861778,mammal
n02128385,n01861778,mammal
n02128757,n01861778,mammal
n02128925,n01861778,mammal
n02129165,n01861778,mammal
n02129604,n01861778,mammal
n02130308,n01861778,mammal
n02132136,n01861778,mammal
n02133161,n01861778,mammal
n02134084,n01861778,mammal
n02134418,n01861778,mammal
n02137549,n01861778,mammal
n02138441,n01861778,mammal
n02165105,n00015388,animal
n02165456,n00015388,animal
n02167151,n00015388,animal
n02168699,n00015388,animal
n02169497,n00015388,animal
n02172182,n00015388,animal
n02174001,n00015388,animal
n02177972,n00015388,animal
n02190166,n00015388,animal
n02206856,n00015388,animal
n02219486,n00015388,animal
n02226429,n00015388,animal
n02229544,n00015388,animal
n02231487,n00015388,animal
n02233338,n00015388,animal
n02236044,n00015388,animal
n02256656,n00015388,animal
n02259212,n00015388,animal
n02264363,n00015388,animal
n02268443,n00015388,animal
n02268853,n00015388,animal
n02276258,n00015388,animal
n02277742,n00015388,animal
n02279972,n00015388,animal
n02280649,n00015388,animal
n02281406,n00015388,animal
n02281787,n00015388,animal
n02317335,n00015388,animal
n02319095,n00015388,animal
n02321529,n00015388,animal
n02325366,n01861778,mammal
n02326432,n01861778,mammal
n02328150,n01861778,mammal
n02342885,n01861778,mammal
n02346627,n01861778,mammal
n02356798,n01861778,mammal
n02361337,n01861778,mammal
n02363005,n01861778,mammal
n02364673,n01861778,mammal
n02389026,n01861778,mammal
n02391049,n01861778,mammal
n02395406,n01861778,mammal
n02396427,n01861778,mammal
n02397096,n01861778,mammal
n02398521,n01861778,mammal
n02403003,n01861778,mammal
n02408429,n01861778,mammal
n02410509,n01861778,mammal
n02412080,n01861778,mammal
n02415577,n01861778,mammal
n02417914,n01861778,mammal
n02422106,n01861778,mammal
n02422699,n01861778,mammal
n02423022,n01861778,mammal
n02437312,n01861778,mammal
n02437616,n01861778,mammal
n02441942,n01861778,mammal
n02442845,n01861778,mammal
n02443114,n01861778,mammal
n02443484,n01861778,mammal
n02444819,n01861778,mammal
n02445715,n01861778,mammal
n02447366,n01861778,mammal
n02454379,n01861778,mammal
n02457408,n01861778,mammal
n02480495,n01861778,mammal
n02480855,n01861778,mammal
n02481823,n01861778,mammal
n02483362,n01861778,mammal
n02483708,n01861778,mammal
n02484975,n01861778,mammal
n02486261,n01861778,mammal
n02486410,n01861778,mammal
n02487347,n01861778,mammal
n02488291,n01861778,mammal
n02488702,n01861778,mammal
n02489166,n01861778,mammal
n02490219,n01861778,mammal
n02492035,n01861778,mammal
n02492660,n01861778,mammal
n02493509,n01861778,mammal
n02493793,n01861778,mammal
n02494079,n01861778,mammal
n02497673,n01861778,mammal
n02500267,n01861778,mammal
n02504013,n01861778,mammal
n02504458,n01861778,mammal
n02509815,n01861778,mammal
n02510455,n01861778,mammal
n02514041,n00015388,animal
n02526121,n00015388,animal
n02536864,n00015388,animal
n02606052,n00015388,animal
n02607072,n00015388,animal
n02640242,n00015388,animal
n02641379,n00015388,animal
n02643566,n00015388,animal
n02655020,n00015388,animal
n02666196,n03183080,device
n02667093,n00021939,artifact
n02669723,n00021939,artifact
n02672831,n03183080,device
n02676566,n03183080,device
n02687172,n04524313,vehicle
n02690373,n04524313,vehicle
n02692877,n04524313,vehicle
n02699494,n04341686,structure
n02701002,n04524313,vehicle
n02704792,n04524313,vehicle
n02708093,n03183080,device
n02727426,n04341686,structure
n02730930,n00021939,artifact
n02747177,n03094503,container
n02749479,n03183080,device
n02769748,n03094503,container
n02776631,n04341686,structure
n02777292,n03575240,instrumentality
n02782093,n04524313,vehicle
n02783161,n03575240,instrumentality
n02786058,n00021939,artifact
n02787622,n03183080,device
n02788148,n04341686,structure
n02790996,n03575240,instrumentality
n02791124,n03575240,instrumentality
n02791270,n04341686,structure
n02793495,n04341686,structure
n02794156,n03183080,device
n02795169,n03094503,container
n02797295,n04524313,vehicle
n02799071,n03575240,instrumentality
n02802426,n03575240,instrumentality
n02804414,n03575240,instrumentality
n02804610,n03183080,device
n02807133,n00021939,artifact
n02808304,n00021939,artifact
n02808440,n03094503,container
n02814533,n04524313,vehicle
n02814860,n04341686,structure
n02815834,n03094503,container
n02817516,n00021939,artifact
n02823428,n03094503,container
n02823750,n03094503,container
n02825657,n00021939,artifact
n02834397,n00021939,artifact
n02835271,n04524313,vehicle
n02837789,n00021939,artifact
n02840245,n00021939,artifact
n02841315,n03183080,device
n02843684,n00021939,artifact
n02859443,n04341686,structure
n02860847,n04524313,vehicle
n02865351,n00021939,artifact
n02869837,n00021939,artifact
n02870880,n03575240,instrumentality
n02871525,n04341686,structure
n02877765,n00021939,artifact
n02879718,n03183080,device
n02883205,n00021939,artifact
n02892201,n04341686,structure
n02892767,n00021939,artifact
n02894605,n04341686,structure
n02895154,n00021939,artifact
n02906734,n03575240,instrumentality
n02909870,n03094503,container
n02910353,n03183080,device
n02916936,n00021939,artifact
n02917067,n03575240,instrumentality
n02927161,n04341686,structure
n02930766,n04524313,vehicle
n02939185,n03094503,container
n02948072,n03183080,device
n02950826,n03183080,device
n02951358,n04524313,vehicle
n02951585,n03575240,instrumentality
n02963159,n00021939,artifact
n02965783,n03183080,device
n02966193,n03183080,device
n02966687,n03575240,instrumentality
n02971356,n03094503,container
n02974003,n03183080,device
n02977058,n03183080,device
n02978881,n03094503,container
n02979186,n03575240,instrumentality
n02980441,n04341686,structure
n02981792,n04524313,vehicle
n02988304,n03575240,instrumentality
n02992211,n03183080,device
n02992529,n03575240,instrumentality
n02999410,n03575240,instrumentality
n03000134,n04341686,structure
n03000247,n00021939,artifact
n03000684,n03183080,device
n03014705,n03094503,container
n03016953,n03575240,instrumentality
n03017168,n03183080,device
n03018349,n03575240,instrumentality
n03026506,n00021939,artifact
n03028079,n04341686,structure
n03032252,n04341686,structure
n03041632,n03575240,instrumentality
n03042490,n04341686,structure
n03045698,n00021939,artifact
n03047690,n00021939,artifact
n03062245,n03094503,container
n03063599,n03094503,container
n03063689,n03094503,container
n03065424,n04341686,structure
n03075370,n03183080,device
n03085013,n03183080,device
n03089624,n04341686,structure
n03095699,n04524313,vehicle
n03100240,n04524313,vehicle
n03109150,n03575240,instrumentality
n03110669,n03183080,device
n03124043,n00021939,artifact
n03124170,n00021939,artifact
n03125729,n03575240,instrumentality
n03126707,n03183080,device
n03127747,n00021939,artifact
n03127925,n03094503,container
n03131574,n03575240,instrumentality
n03133878,n03575240,instrumentality
n03134739,n03575240,instrumentality
n03141823,n03575240,instrumentality
n03146219,n00021939,artifact
n03160309,n04341686,structure
n03179701,n03575240,instrumentality
n03180011,n03183080,device
n03187595,n03575240,instrumentality
n03188531,n00021939,artifact
n03196217,n03183080,device
n03197337,n03183080,device
n03201208,n03575240,instrumentality
n03207743,n00021939,artifact
n03207941,n00021939,artifact
n03208938,n03183080,device
n03216828,n04341686,structure
n03218198,n04524313,vehicle
n03220513,n00021939,artifact
n03223299,n00021939,artifact
n03240683,n03575240,instrumentality
n03249569,n03183080,device
n03250847,n03575240,instrumentality
n03255030,n03575240,instrumentality
n03259280,n00021939,artifact
n03271574,n03183080,device
n03272010,n03183080,device
n03272562,n04524313,vehicle
n03290653,n03575240,instrumentality
n03291819,n03094503,container
n03297495,n00021939,artifact
n03314780,n03575240,instrumentality
n03325584,n00021939,artifact
n03337140,n03575240,instrumentality
n03344393,n04524313,vehicle
n03345487,n04524313,vehicle
n03347037,n00021939,artifact
n03355925,n03575240,instrumentality
n03372029,n03183080,device
n03376595,n03575240,instrumentality
n03379051,n00021939,artifact
n03384352,n04524313,vehicle
n03388043,n04341686,structure
n03388183,n03575240,instrumentality
n03388549,n03575240,instrumentality
n03393912,n04524313,vehicle
n03394916,n03183080,device
n03400231,n03575240,instrumentality
n03404251,n00021939,artifact
n03417042,n04524313,vehicle
n03424325,n00021939,artifact
n03425413,n03183080,device
n03443371,n03094503,container
n03444034,n04524313,vehicle
n03445777,n03575240,instrumentality
n03445924,n04524313,vehicle
n03447447,n04524313,vehicle
n03447721,n03183080,device
n03450230,n00021939,artifact
n03452741,n03183080,device
n03457902,n04341686,structure
n03459775,n04341686,structure
n03461385,n04341686,structure
n03467068,n03183080,device
n03476684,n03183080,device
n03476991,n03575240,instrumentality
n03478589,n04524313,vehicle
n03481172,n03575240,instrumentality
n03482405,n03094503,container
n03483316,n03183080,device
n03485407,n03183080,device
n03485794,n00021939,artifact
n03492542,n03183080,device
n03494278,n03183080,device
n03495258,n03183080,device
n03496892,n03183080,device
n03498962,n03575240,instrumentality
n03527444,n00021939,artifact
n03529860,n04341686,structure
n03530642,n04341686,structure
n03532672,n03183080,device
n03534580,n00021939,artifact
n03535780,n03575240,instrumentality
n03538406,n04524313,vehicle
n03544143,n03183080,device
n03584254,n03575240,instrumentality
n03584829,n00021939,artifact
n03590841,n03183080,device
n03594734,n00021939,artifact
n03594945,n04524313,vehicle
n03595614,n00021939,artifact
n03598930,n03575240,instrumentality
n03599486,n04524313,vehicle
n03602883,n03183080,device
n03617480,n00021939,artifact
n03623198,n00021939,artifact
n03627232,n03183080,device
n03630383,n00021939,artifact
n03633091,n03094503,container
n03637318,n00021939,artifact
n03642806,n03183080,device
n03649909,n03575240,instrumentality
n03657121,n00021939,artifact
n03658185,n03575240,instrumentality
n03661043,n04341686,structure
n03662601,n04524313,vehicle
n03666591,n03183080,device
n03670208,n04524313,vehicle
n03673027,n04524313,vehicle
n03676483,n03575240,instrumentality
n03680355,n00021939,artifact
n03690938,n03575240,instrumentality
n03691459,n03183080,device
n03692522,n03183080,device
n03697007,n04341686,structure
n03706229,n03183080,device
n03709823,n03094503,container
n03710193,n03094503,container
n03710637,n00021939,artifact
n03710721,n00021939,artifact
n03717622,n00021939,artifact
n03720891,n03183080,device
n03721384,n03183080,device
n03724870,n00021939,artifact
n03729826,n03575240,instrumentality
n03733131,n03183080,device
n03733281,n03575240,instrumentality
n03733805,n03094503,container
n03742115,n03575240,instrumentality
n03743016,n04341686,structure
n03759954,n03183080,device
n03761084,n00021939,artifact
n03763968,n00021939,artifact
n03764736,n03094503,container
n03769881,n03575240,instrumentality
n03770439,n00021939,artifact
n03770679,n04524313,vehicle
n03773504,n04524313,vehicle
n03775071,n00021939,artifact
n03775546,n03094503,container
n03776460,n04524313,vehicle
n03777568,n04524313,vehicle
n03777754,n03575240,instrumentality
n03781244,n04341686,structure
n03782006,n03575240,instrumentality
n03785016,n04524313,vehicle
n03786901,n03094503,container
n03787032,n00021939,artifact
n03788195,n04341686,structure
n03788365,n00021939,artifact
n03791053,n04524313,vehicle
n03792782,n04524313,vehicle
n03792972,n04341686,structure
n03793489,n03183080,device
n03794056,n03183080,device
n03796401,n04524313,vehicle
n03803284,n03183080,device
n03804744,n03183080,device
n03814639,n03183080,device
n03814906,n00021939,artifact
n03825788,n00021939,artifact
n03832673,n03183080,device
n03837869,n04341686,structure
n03838899,n03183080,device
n03840681,n03183080,device
n03841143,n03183080,device
n03843555,n03183080,device
n03854065,n03183080,device
n03857828,n03575240,instrumentality
n03866082,n00021939,artifact
n03868242,n04524313,vehicle
n03868863,n03183080,device
n03871628,n03094503,container
n03873416,n03575240,instrumentality
n03874293,n03183080,device
n03874599,n03183080,device
n03876231,n03183080,device
n03877472,n00021939,artifact
n03877845,n04341686,structure
n03884397,n03183080,device
n03887697,n00021939,artifact
n03888257,n03575240,instrumentality
n03888605,n03575240,instrumentality
n03891251,n03575240,instrumentality
n03891332,n03183080,device
n03895866,n04524313,vehicle
n03899768,n04341686,structure
n03902125,n03575240,instrumentality
n03903868,n04341686,structure
n03908618,n03094503,container
n03908714,n03575240,instrumentality
n03916031,n03575240,instrumentality
n03920288,n03094503,container
n03924679,n03575240,instrumentality
n03929660,n03183080,device
n03929855,n00021939,artifact
n03930313,n04341686,structure
n03930630,n04524313,vehicle
n03933933,n03183080,device
n03935335,n03094503,container
n03937543,n03094503,container
n03938244,n00021939,artifact
n03942813,n03575240,instrumentality
n03944341,n03183080,device
n03947888,n04524313,vehicle
n03950228,n03094503,container
n03954731,n03575240,instrumentality
n03956157,n04341686,structure
n03958227,n03094503,container
n03961711,n04341686,structure
n03967562,n03575240,instrumentality
n03970156,n03575240,instrumentality
n03976467,n03575240,instrumentality
n03976657,n03575240,instrumentality
n03977966,n04524313,vehicle
n03980874,n00021939,artifact
n03982430,n03575240,instrumentality
n03983396,n03094503,container
n03991062,n03094503,container
n03992509,n03183080,device
n03995372,n03183080,device
n03998194,n03575240,instrumentality
n04004767,n03183080,device
n04005630,n04341686,structure
n04008634,n03183080,device
n04009552,n03183080,device
n04019541,n03183080,device
n04023962,n03575240,instrumentality
n04026417,n03094503,container
n04033901,n03575240,instrumentality
n04033995,n00021939,artifact
n04037443,n04524313,vehicle
n04039381,n03575240,instrumentality
n04040759,n03183080,device
n04041544,n03575240,instrumentality
n04044716,n03183080,device
n04049303,n03094503,container
n04065272,n04524313,vehicle
n04067472,n03183080,device
n04069434,n03575240,instrumentality
n04070727,n00021939,artifact
n04074963,n03183080,device
n04081281,n04341686,structure
n04086273,n03183080,device
n04090263,n03183080,device
n04099969,n03575240,instrumentality
n04111531,n00021939,artifact
n04116512,n03575240,instrumentality
n04118538,n03575240,instrumentality
n04118776,n03183080,device
n04120489,n00021939,artifact
n04125021,n03094503,container
n04127249,n03183080,device
n04131690,n03094503,container
n04133789,n00021939,artifact
n04136333,n00021939,artifact
n04141076,n03183080,device
n04141327,n00021939,artifact
n04141975,n03183080,device
n04146614,n03575240,instrumentality
n04147183,n04524313,vehicle
n04149813,n04341686,structure
n04152593,n03183080,device
n04153751,n03183080,device
n04154565,n03575240,instrumentality
n04162706,n03183080,device
n04179913,n03183080,device
n04192698,n00021939,artifact
n04200800,n04341686,structure
n04201297,n00021939,artifact
n04204238,n03094503,container
n04204347,n04524313,vehicle
n04208210,n03575240,instrumentality
n04209133,n00021939,artifact
n04209239,n03575240,instrumentality
n04228054,n03183080,device
n04229816,n00021939,artifact
n04235860,n03094503,container
n04238763,n03183080,device
n04239074,n04341686,structure
n04243546,n03183080,device
n04251144,n03183080,device
n04252077,n04524313,vehicle
n04252225,n04524313,vehicle
n04254120,n03094503,container
n04254680,n03575240,instrumentality
n04254777,n00021939,artifact
n04258138,n03183080,device
n04259630,n00021939,artifact
n04263257,n03094503,container
n04264628,n03575240,instrumentality
n04265275,n03183080,device
n04266014,n04524313,vehicle
n04270147,n03575240,instrumentality
n04273569,n04524313,vehicle
n04275548,n03183080,device
n04277352,n03575240,instrumentality
n04285008,n04524313,vehicle
n04286575,n03183080,device
n04296562,n00021939,artifact
n04310018,n04524313,vehicle
n04311004,n04341686,structure
n04311174,n03183080,device
n04317175,n03183080,device
n04325704,n00021939,artifact
n04326547,n04341686,structure
n04328186,n03183080,device
n04330267,n03183080,device
n04332243,n03183080,device
n04335435,n04524313,vehicle
n04336792,n03575240,instrumentality
n04344873,n03575240,instrumentality
n04346328,n04341686,structure
n04347754,n04524313,vehicle
n04350905,n00021939,artifact
n04355338,n03183080,device
n04355933,n03183080,device
n04356056,n03183080,device
n04357314,n03575240,instrumentality
n04366367,n04341686,structure
n04367480,n03575240,instrumentality
n04370456,n00021939,artifact
n04371430,n00021939,artifact
n04371774,n03183080,device
n04372370,n03183080,device
n04376876,n03183080,device
n04380533,n03575240,instrumentality
n04389033,n04524313,vehicle
n04392985,n03575240,instrumentality
n04398044,n03094503,container
n04399382,n00021939,artifact
n04404412,n03575240,instrumentality
n04409515,n03575240,instrumentality
n04417672,n00021939,artifact
n04418357,n03575240,instrumentality
n04423845,n03094503,container
n04428191,n03183080,device
n04429376,n03575240,instrumentality
n04435653,n00021939,artifact
n04442312,n00021939,artifact
n04443257,n04341686,structure
n04447861,n03575240,instrumentality
n04456115,n03183080,device
n04458633,n04341686,structure
n04461696,n04524313,vehicle
n04462240,n04341686,structure
n04465501,n04524313,vehicle
n04467665,n04524313,vehicle
n04476259,n03094503,container
n04479046,n00021939,artifact
n04482393,n04524313,vehicle
n04483307,n04524313,vehicle
n04485082,n03183080,device
n04486054,n04341686,structure
n04487081,n03575240,instrumentality
n04487394,n03183080,device
n04493381,n03094503,container
n04501370,n04341686,structure
n04505470,n03183080,device
n04507155,n00021939,artifact
n04509417,n04524313,vehicle
n04515003,n03183080,device
n04517823,n00021939,artifact
n04522168,n03094503,container
n04523525,n00021939,artifact
n04525038,n00021939,artifact
n04525305,n03183080,device
n04532106,n00021939,artifact
n04532670,n04341686,structure
n04536866,n03183080,device
n04540053,n03575240,instrumentality
n04542943,n00021939,artifact
n04548280,n03183080,device
n04548362,n03094503,container
n04550184,n03575240,instrumentality
n04552348,n04524313,vehicle
n04553703,n03094503,container
n04554684,n00021939,artifact
n04557648,n03094503,container
n04560804,n03094503,container
n04562935,n03094503,container
n04579145,n03094503,container
n04579432,n03183080,device
n04584207,n00021939,artifact
n04589890,n00021939,artifact
n04590129,n00021939,artifact
n04591157,n00021939,artifact
n04591713,n03094503,container
n04592741,n03183080,device
n04596742,n03575240,instrumentality
n04597913,n03094503,container
n04599235,n00021939,artifact
n04604644,n04341686,structure
n04606251,n04524313,vehicle
n04612504,n04524313,vehicle
n04613696,n04341686,structure
n06359193,n03183080,device
n06596364,n03575240,instrumentality
n06785654,n03575240,instrumentality
n06794110,n00001740,others
n06874185,n00001740,others
n07248320,n00021939,artifact
n07565083,n00001740,others
n07579787,n00001740,others
n07583066,n00001740,others
n07584110,n00001740,others
n07590611,n00001740,others
n07613480,n00001740,others
n07614500,n00001740,others
n07615774,n00001740,others
n07684084,n00001740,others
n07693725,n00001740,others
n07695742,n00001740,others
n07697313,n00001740,others
n07697537,n00001740,others
n07711569,n00001740,others
n07714571,n00001740,others
n07714990,n00001740,others
n07715103,n00001740,others
n07716358,n00001740,others
n07716906,n00001740,others
n07717410,n00001740,others
n07717556,n00001740,others
n07718472,n00001740,others
n07718747,n00001740,others
n07720875,n00001740,others
n07730033,n00001740,others
n07734744,n00001740,others
n07742313,n00001740,others
n07745940,n00001740,others
n07747607,n00001740,others
n07749582,n00001740,others
n07753113,n00001740,others
n07753275,n00001740,others
n07753592,n00001740,others
n07754684,n00001740,others
n07760859,n00001740,others
n07768694,n00001740,others
n07802026,n00001740,others
n07831146,n00001740,others
n07836838,n00001740,others
n07860988,n00001740,others
n07871810,n00001740,others
n07873807,n00001740,others
n07875152,n00001740,others
n07880968,n00001740,others
n07892512,n00001740,others
n07920052,n00001740,others
n07930864,n00001740,others
n07932039,n00001740,others
n09193705,n00001740,others
n09229709,n00001740,others
n09246464,n00001740,others
n09256479,n00001740,others
n09288635,n00001740,others
n09332890,n00001740,others
n09399592,n00001740,others
n09421951,n00001740,others
n09428293,n00001740,others
n09468604,n00001740,others
n09472597,n00001740,others
n09835506,n00001740,others
n10148035,n00001740,others
n10565667,n00001740,others
n11879895,n00001740,others
n11939491,n00001740,others
n12057211,n00001740,others
n12144580,n00001740,others
n12267677,n00001740,others
n12620546,n00001740,others
n12768682,n00001740,others
n12985857,n00001740,others
n12998815,n00001740,others
n13037406,n00001740,others
n13040303,n00001740,others
n13044778,n00001740,others
n13052670,n00001740,others
n13054560,n00001740,others
n13133613,n00001740,others
n15075141,n00001740,others
